"IDs","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia","Bacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus","Bacteria|Firmicutes|unclassified","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Parasutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Incertae_Sedis_XIV|Blautia","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium","Bacteria|Bacteroidetes|unclassified","Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia","Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas","Bacteria|Firmicutes|Clostridia|unclassified","Bacteria|Proteobacteria|Alphaproteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus","Bacteria|Proteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Succiniclasticum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter","Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Acidaminococcus","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Megasphaera"
"700095235",727,27,57,123,128,374,15,492,189,71,75,10,6,455,2,41,1,4,2,0,0,4,0,8,1,0,7,0,0,7,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"700108858",1763,79,139,138,481,169,150,1049,466,101,81,25,0,0,63,66,410,1,81,0,0,4,137,0,2,0,0,0,0,128,3,108,9,15,44,0,3,0,0,8,0,0,3,2,0,0,0,16,0,0
"700110243",10783,889,1057,1402,1472,1306,276,647,157,273,70,656,0,509,299,188,101,44,144,0,0,81,5,1160,24,0,233,0,0,54,35,0,33,46,0,0,4,0,0,40,4,1,4,14,4,0,0,37,89,0
"700098381",3033,269,249,178,216,208,153,1057,8,88,9,14,46,383,15,23,633,503,1,0,0,145,0,43,14,0,40,0,0,51,3,0,5,0,0,932,36,1,0,0,0,4,10,0,0,0,0,1,0,0
"700105181",16208,5537,8948,1553,3145,1001,5320,699,748,615,1507,641,3796,2,1210,174,832,2789,193,55,0,791,0,52,0,0,456,992,1,0,280,0,45,87,0,0,74,63,0,20,7,167,29,1,33,0,0,0,0,0
"700032414",1264,123,108,53,66,48,62,125,101,44,103,14,12,25,52,18,37,4,11,181,0,10,0,0,0,0,19,1,0,0,1,0,4,3,1,0,0,1,0,4,0,0,0,8,1,0,0,3,47,0
"700105771",1267,1196,3022,714,769,1175,1586,190,32,162,102,365,1,590,5,27,87,20,43,1,0,75,45,5,42,0,47,0,0,18,115,0,12,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"700014391",7671,392,561,478,597,1821,1412,1025,54,863,104,103,533,95,248,235,42,106,90,48,79,122,193,20,134,0,77,1,0,319,49,0,172,8,0,0,2,8,0,0,64,161,6,0,4,0,0,0,1,34
"700014390",7007,508,867,1030,406,1452,869,1009,102,583,137,174,398,221,303,313,41,75,103,63,75,100,300,14,123,0,113,2,0,332,33,0,162,10,0,0,16,6,0,25,60,97,24,13,5,0,0,7,2,32
"700024379",6354,1889,506,475,607,1695,477,194,189,235,45,128,0,710,97,122,51,60,103,5,0,256,148,7,20,0,41,0,0,172,12,83,29,6,28,0,2,0,0,4,7,1,10,4,5,0,0,1,0,0
"700038386",3966,295,333,326,325,302,871,1056,144,79,27,44,0,237,36,8,1,39,49,354,627,89,33,9,0,0,33,48,13,20,27,0,35,20,3,0,41,16,0,1,24,13,33,27,2,0,0,2,11,0
"700014489",11441,1506,476,2652,1576,0,258,796,624,268,577,10,414,1141,140,1043,523,3,655,0,0,40,0,8,66,0,0,0,0,0,124,0,54,20,0,0,1,20,0,3,0,25,0,33,35,0,0,21,0,0
"700105632",2748,677,561,390,609,482,113,248,216,110,82,131,6,92,28,95,5,7,5,0,0,43,17,9,1,0,12,0,0,26,23,2,2,2,0,0,8,0,0,1,6,0,68,0,1,0,0,0,0,0
"700114517",3599,772,55,384,303,0,18,199,326,36,0,86,0,121,41,17,49,2,118,1,0,76,19,1,0,929,0,0,0,0,3,0,7,9,0,0,0,0,0,0,1,0,0,0,6,0,1380,1,0,0
"700014561",5098,382,1968,880,281,469,258,3000,122,264,864,30,4,466,58,34,846,1330,9,0,0,477,0,185,10,0,23,0,0,31,47,10,4,0,2,415,20,2,3,6,0,3,11,2,4,0,0,6,0,0
"700014562",5320,394,2023,748,263,660,272,3185,122,173,838,34,1,519,48,32,667,1601,9,3,0,667,0,395,8,0,29,0,0,35,56,19,6,0,1,319,16,9,3,9,0,3,13,2,9,0,0,3,0,0
"700114653",4193,3852,632,507,226,367,220,95,12,74,176,132,33,0,38,37,14,0,13,0,0,28,0,2,14,0,26,1,45,0,4,11,4,7,4,0,3,0,0,6,0,3,1,0,4,0,0,2,0,2
"700107508",2735,35,332,834,94,369,202,903,21,153,1,13,11,1134,58,139,6,18,35,227,40,76,23,2,0,0,18,55,242,87,11,0,39,0,0,0,1,4,0,8,1,0,46,0,8,0,0,10,0,0
"700035256",475,25,318,493,87,968,130,85,16,46,674,137,0,13,9,25,50,6,485,24,0,2,556,14,0,4,8,8,33,16,8,71,1,27,5,0,19,0,0,54,0,1,27,0,4,0,0,1,0,0
"700024233",7128,1368,376,411,1021,0,107,0,912,82,82,247,198,0,165,41,828,0,82,1,0,4,0,0,0,0,0,0,0,0,8,0,32,7,1,0,4,4,0,9,108,10,0,3,65,0,0,1,0,0
"700038978",3229,525,695,578,679,899,936,260,190,485,4,38,0,244,51,129,10,292,19,4,203,657,37,75,0,0,32,904,260,304,27,0,5,9,0,1,27,16,0,25,9,6,48,0,2,0,0,1,10,0
"700023654",740,136,3084,849,1570,965,55,45,836,467,527,259,0,15,36,532,0,0,44,0,0,9,37,7,665,0,18,0,0,0,15,0,22,2,0,0,0,0,0,14,59,23,11,8,8,0,0,45,0,0
"700016716",1461,135,592,164,89,229,235,41,44,5,308,220,172,0,31,23,3,0,83,292,0,1,344,1,3,0,8,1,0,2,6,0,77,17,0,0,11,5,0,17,19,1,4,11,23,0,0,10,0,0
"700037200",376,209,269,222,180,3230,148,146,108,444,321,750,3339,0,24,364,0,0,235,3,0,4,0,4,61,0,0,1,0,0,42,0,38,5,0,0,7,2,0,10,136,3,9,0,1,0,0,7,0,0
"700035321",755,10,163,28,27,976,47,159,3,11,2,4,0,47,2,0,2,147,32,36,97,28,153,213,0,2,5,0,25,21,0,9,1,0,1,0,56,1,0,0,2,0,3,1,0,52,0,0,1,9
"700108240",5364,1370,1613,1100,319,579,134,227,31,20,253,674,89,458,212,7,51,5,123,6,0,11,0,0,219,0,0,0,0,85,12,0,19,9,0,0,2,5,0,76,5,1,0,4,34,0,0,64,0,0
"700037560",8348,3956,2070,3123,5736,300,1595,640,4376,292,419,664,0,304,462,175,35,33,468,538,153,644,122,9,0,0,64,895,2,26,274,0,217,79,2,0,212,296,87,34,106,24,7,4,14,39,1,26,60,20
"700110111",879,173,71,135,101,316,56,318,218,48,56,28,1,110,18,9,26,2,32,0,0,4,7,1,72,0,65,0,0,16,3,0,9,4,0,0,0,0,0,10,0,0,2,2,4,0,0,5,0,0
"700098451",1451,281,270,249,119,169,30,227,203,6,119,147,0,83,56,3,60,5,27,1,0,7,12,1,0,0,24,0,0,5,2,0,10,4,0,0,0,33,0,20,1,0,6,1,11,1,0,4,0,0
"700023096",14799,4424,1947,875,1425,873,439,742,2057,287,100,595,0,387,165,196,35,15,49,3,377,132,666,8,0,2,136,0,0,0,17,0,9,60,0,0,12,27,0,29,9,75,7,1,22,0,0,34,13,0
"700106056",3157,598,492,565,613,1519,404,162,326,607,369,107,1,86,25,159,98,32,24,2,0,65,8,9,106,0,31,0,0,10,57,0,4,0,0,0,31,2,0,2,23,8,8,1,1,0,0,21,1,0
"700110834",1599,346,271,187,346,149,54,133,128,21,77,49,0,52,41,12,49,0,106,0,0,5,51,3,0,0,28,0,0,6,7,0,16,12,0,0,10,15,0,1,0,7,3,1,4,1,0,1,0,0
"700109129",4486,3374,1338,1241,216,423,114,1127,24,394,450,179,10,84,95,101,183,641,38,0,0,64,3,2848,1,0,35,1,337,3,83,0,30,7,0,0,0,0,0,5,0,8,12,4,45,3,0,8,0,1
"700034641",1399,88,101,391,219,872,38,520,271,21,34,20,0,0,33,2,38,2,106,1,0,4,33,0,2,0,125,0,0,0,5,0,15,12,0,0,11,20,0,6,0,2,0,44,6,0,0,8,0,0
"700035861",1667,116,521,414,259,203,266,0,200,7,75,299,295,2,53,4,10,8,196,0,8,10,0,3,0,0,8,0,0,6,5,0,35,5,0,0,2,0,0,8,0,1,11,0,8,0,0,1,0,0
"700023788",2293,1602,1100,436,502,195,207,48,196,67,462,925,233,0,104,10,18,0,40,0,0,14,0,1,137,0,19,0,115,0,2,2,31,53,4,0,5,2,0,8,0,9,0,0,19,0,0,10,0,1
"700035953",315,18,228,21,9,49,107,26,3,33,30,2,88,102,7,17,1,0,2,52,3,1,0,0,25,0,3,0,0,47,0,11,4,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0
"700105612",7020,3823,1372,944,806,892,1060,640,606,587,256,291,0,51,736,417,641,13,100,5,10,23,103,7,0,0,47,1,0,22,48,8,24,35,0,0,125,0,0,27,2,10,64,1,8,38,1,41,2,0
"700037341",1733,801,169,245,304,396,107,198,34,256,40,58,0,55,107,111,108,23,48,0,0,55,27,11,14,0,54,4,0,36,57,0,11,2,57,0,2,5,0,0,2,13,4,0,1,0,0,0,0,0
"700014504",8127,876,442,978,2262,218,178,834,365,31,143,273,16,97,503,34,0,2,1373,229,9,19,685,1,31,0,21,52,258,25,5,1,84,232,0,0,22,15,0,6,41,17,21,612,171,0,1,4,1,143
"700014503",5998,861,305,861,1947,174,161,606,344,34,111,233,13,59,559,35,0,1,1168,269,14,43,869,3,66,0,11,23,226,25,6,2,68,255,2,0,14,21,0,4,29,8,19,439,103,0,0,20,0,108
"700106579",1182,93,377,140,157,2239,105,55,53,42,246,110,182,0,4,13,0,2,24,0,0,24,0,9,81,0,0,0,0,0,6,0,8,2,0,0,10,1,0,3,10,7,70,0,0,0,0,4,0,170
"700016029",6820,54,14006,1112,1070,1968,7760,488,372,618,5806,314,2,116,134,70,44,20,208,14,0,34,4,6,286,0,24,0,26,108,42,0,28,512,0,0,22,0,0,348,14,222,4,20,0,428,2,36,8,0
"700016028",2810,20,5975,400,467,687,2951,182,90,265,1567,94,1,56,40,15,13,8,73,5,0,3,2,2,96,0,8,0,13,30,21,0,7,194,0,0,5,0,0,72,1,74,2,5,0,155,0,8,3,0
"700023578",350,139,1345,984,803,62,241,8,585,50,563,1472,499,16,101,74,1,1,124,0,2,4,344,0,1,0,1,0,0,1,54,0,94,47,0,0,11,0,0,20,17,10,9,0,12,0,0,38,0,0
